id,content_url,vid,metadata
L3MrJst9NQlCrzrq29_wY,https://www.youtube.com/watch?v=cnFr995_0pY,sJZCMjT1jTEf9206seFQn,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
RYOBinpP5_aQh3bTx7Dwd,https://www.youtube.com/watch?v=wi7eSSA4eII,wNxljsP6G52Ajw8CvUnod,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
Zy_NJgqeuFjK0rOnfyQkE,https://www.youtube.com/watch?v=ndfTyTOnaHg,vI7JTl4eak2XqK2E8ZAsr,"{""channel_id"":""UCIUsHb9uMvsFrmKTIaI5eAQ"",""channel_name"":""舞鶴観光協会 - Visit Maizuru"",""guess_location"":true}"
uCBQdtF9r_fItoWHmQE5z,https://www.youtube.com/watch?v=VwlC2_YyFb8,tf9wfg969uyFrAfYKpR0B,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
CLLDppQCbnBwD6Fnz2GW5,https://www.youtube.com/watch?v=eB3gdeSdq6E,ghGlIl0MEjTZa_OqLZ1IW,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
5n3ExihUWjxYgYGan-QKf,https://www.youtube.com/watch?v=EJyTKZLrBMw,m-D-v_uuHxG0BbD5-SaS4,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
OlFzyGLm91yqTL8BvJZEg,https://www.youtube.com/watch?v=sueSneaDkyI,jRdxG-NEaC-xp3fPqmQ-c,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
_t5quzbCCUKOEk1OSA1TP,https://www.youtube.com/watch?v=RlrtGlZOT1M,slPDVpLRZI-GMhzWKEs4P,null
CTwCAC2o7kQHwygKajSnA,https://www.youtube.com/watch?v=RfKxreI8bYg,JExJnaDhP_NUX_k-bQ06N,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
IHkIwYERDNEA0HNrJTc0s,https://www.youtube.com/watch?v=DF45zE1BerM,N-dEAHflMh1rhnhlaiuOw,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
ce539hHkZIjdiW698LZpQ,https://www.youtube.com/watch?v=0QhZUosc1wM,FPbjQJHEcyWY0EE2iBU6l,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
vlncRG76LewCYFPD0t9mW,https://www.youtube.com/watch?v=FhaEy_kprPg,JGuZTQ_Qdi-7vlkedxgbN,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
vic_QJ_0dmxCMLjybU0N6,https://www.youtube.com/watch?v=HUY39v2oPuY,WSHOm__1RMbiWFkzdJSip,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
WzG6xCII5Ehct6TRXksjd,https://www.youtube.com/watch?v=c3zYA4Ooub0,DYjxS8UjfO07wfi8e4DU_,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
b-iekOhVddWpEJtXw83aj,https://www.youtube.com/watch?v=XzixmcAtHdo,W3DQ4qwaErutbmy0Fso2F,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
2jAJ9vI0TYN_o6dUmWQbL,https://www.youtube.com/watch?v=V2fLHbNHmmc,RDSKTDAe24e_PGqLit-0L,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
Pn_Tp477TpyFEZeImgfIP,https://www.youtube.com/watch?v=5V3MHOXOSNM,-jOAEIhjnn2OnA259WUsC,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
txIEOzEMT_6h3JHDQMwMS,https://www.youtube.com/watch?v=iuBqmmzxxrg,FbdrXHYWCnmtRhjtAo3vj,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
pC9EfhLc1BMX7wJPz1ga1,https://www.youtube.com/watch?v=xy37MRIuikQ,4_bI6KSMz32qA_inAjlx2,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
zutcocxjOdjMfvylHO7X6,https://www.youtube.com/watch?v=tV7ir80lQwM,TcGL7c-IeOtvwnhUg2uCk,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
FpWH3l1biFDcsrN5VqYQb,https://www.youtube.com/watch?v=tzReV-CN5wM,PfM0e7HAtLJF3DMr2ZFB-,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
gYismHabF5uC0aXSg1QQw,https://www.youtube.com/watch?v=E9i5WuZKpFI,F4TeBQRcUKcbU2qK1Tv_D,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
U2Wvb8OtGWSNNoYHde2Sw,https://www.youtube.com/watch?v=AofgB92oHug,RHF5I2OhjYHHzzK2UyyUu,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
QJj8mSHrxnhDq6p1U3tu2,https://www.youtube.com/watch?v=8rNiVt9bvK0,LpYuFZPDjM8-kJonb4OXV,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
K3qvrfxqJbseyCt05HGC8,https://www.youtube.com/watch?v=wPKnV8fNmg0,hp7sXsyDkglIKbR58hAiq,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
QM04TQmM_aNKY4c18ybv5,https://www.youtube.com/watch?v=v-gKXWCyJvU,0BBoaJf4rCo2fxGx6Dyim,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
CdLg1Cs9kRDy1ARG8gXR7,https://www.youtube.com/watch?v=JB-IHyifGZk,1Gmx9DYlYVRcJgCpOKw5L,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
0jPmKsGYtnfWNCCcFM7k7,https://www.youtube.com/watch?v=6hb7yk-noSs,pwCsi0Ed44y4pTz0XAsG_,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
ToXV-cx4wxeOBGTdXV3pO,https://www.youtube.com/watch?v=GrMXX434Bdc,jtHKeiFdZFTPQ_cK_yfe7,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
YbWpvdLOk3B6CO3_v-Nmv,https://www.youtube.com/watch?v=TN-Y1iLqEO0,lyXdtRzTEGVY6p8JPTtye,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
9IAV7Aeiftxt71MskcS9_,https://www.youtube.com/watch?v=jZbOimRYjZo,Y5rYyVaTH0wYWG93w9QzJ,"{""channel_id"":""UCimkplMz5PLAdbRLxSwF20Q"",""channel_name"":""岐阜の旅ガイド【岐阜県観光連盟】""}"
lW4LMVyo9hdENNka8rzup,https://www.youtube.com/watch?v=p2Z_Oye0MK8,ICWJ3Rd7VHlaQc5GBV4Vy,"{""channel_id"":""UCIjMasRQFj47pPmGFmwAcDQ"",""channel_name"":""creation""}"
cBNg_CUH-Y1NUHHLyoOv6,https://www.youtube.com/watch?v=PtAhWizf-EY,fZLSUroaMWNC2boTOD6pS,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会"",""based_on_title"":true}"
JufZaDyta_EmJoaitMuhG,https://www.youtube.com/watch?v=WXYXij4XheY,Dlrgbx955ohe5cclBKR9I,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会""}"
BLtS_S2EJMRE6u2f7pO5A,https://www.youtube.com/watch?v=SC6NeN3PdR0,ZPYhGznclqc45box5sCMy,null
ocAC4o-vs7Y1elJ-HW2Y-,https://www.youtube.com/watch?v=9B49tXD_lVk,3nhX1gzXdt4n_33xjiQZb,null
IIwKg-2DxeVFaGiq8HBM5,https://www.youtube.com/watch?v=fPWKgEWGceg,iW_bTNUNNaa2hSGtQe__u,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会"",""based_on_title"":true}"
t010rC03RqRB12ekNlfMi,https://www.youtube.com/watch?v=k7Rjfggr_E4,TPX6vy2idgVKtIPewxPFW,"{""channel_id"":""UCimkplMz5PLAdbRLxSwF20Q"",""channel_name"":""岐阜の旅ガイド【岐阜県観光連盟】""}"
BVt8guY34-4CgXiWrbNT_,https://www.youtube.com/watch?v=M784XIsCnFY,LIcquP9EIpKjeyQPA2amM,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会"",""based_on_title"":true}"
V609n2Jl0tihCM9TLXbCC,https://www.youtube.com/watch?v=6Bz4Dhfh6aI,p_xBQ6j6_xWiMm-pSGudQ,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会""}"
3b8STMbXzuQJNoyfmR3yo,https://www.youtube.com/watch?v=-R9hllg9UUc,bzCSQtKgPu3CdERX_eAoO,"{""channel_id"":""UCPIj9A2K2qW71_odwEzQ4YA"",""channel_name"":""公益財団法人岐阜観光コンベンション協会""}"
_Tr4PCTyAOvRW_2o1Pvlb,https://www.youtube.com/watch?v=ta0GgOC8WCw,Rns1GuCc9KnTKHsLV0igV,"{""channel_id"":""UCimkplMz5PLAdbRLxSwF20Q"",""channel_name"":""岐阜の旅ガイド【岐阜県観光連盟】""}"
1DHmTYc2genKoEnepbBRP,https://www.youtube.com/watch?v=MyO-V68GVMk,Zwgq-FBqKpfySCUUjLxu_,"{""channel_id"":""UCFCiZgh28-RGRZ2L8seUqWg"",""channel_name"":""いちき串木野市総合観光案内所""}"
Kf4oCIhO4I300FW-pw5CH,https://www.youtube.com/watch?v=c5mlouMRC4A,FdyoZULmv3atBUclRuyoo,"{""channel_id"":""UCmBITkIOoiiU5u2IvLBRdoQ"",""channel_name"":""ニセコリゾートステイ [倶知安観光協会公式]""}"
SS2sb4v7HnTD6C4W2KJK7,https://www.youtube.com/watch?v=4AUCr8Z9JbI,Go1giVh1QyDw30c1O3zjZ,"{""channel_id"":""UCmBITkIOoiiU5u2IvLBRdoQ"",""channel_name"":""ニセコリゾートステイ [倶知安観光協会公式]""}"
GK900lW9-sST_ufGtA2YF,https://www.youtube.com/watch?v=Aci5BfZCkV8,nzdct2mHzsAq2sD3MjHMW,null
IztO7sb1T0j-xiR-Hee9b,https://www.youtube.com/watch?v=YQ2xmpESNYg,vWAGMrem3dnrbhkLrHJvy,null
e2WPYlP80kPDs2CrbO_Xz,https://www.youtube.com/watch?v=-BJsQ0QlegU,kqiWD6lEhHxyJ8Uz9NKu5,null
